RANK,TEAM,PLAYERS_SEASON_CUMULATIVE,CASH_SEASON_CUMULATIVE,SEASON
5,BKN,14,44238823,2023
6,MIA,16,42653138,2023
7,CHA,20,41525992,2023
8,CLE,11,37394549,2023
9,PHX,14,36360347,2023
10,NYK,17,35385595,2023
11,ATL,16,32242314,2023
12,LAL,13,29735853,2023
13,GSW,13,27838229,2023
14,DAL,16,27745984,2023
15,HOU,14,27253451,2023
16,TOR,19,25500786,2023
17,WAS,19,25078574,2023
18,BOS,15,24896735,2023
19,DET,18,24795220,2023
20,ORL,13,24142852,2023
21,NOP,10,23525549,2023
22,MIL,13,21447539,2023
23,LAC,15,20789283,2023
24,DEN,12,20568972,2023
25,UTA,15,19062499,2023
26,MIN,12,14855336,2023
27,SAC,13,13731348,2023
28,SAS,15,11217867,2023
29,IND,14,11126462,2023
30,OKC,13,8771534,2023
1,PHI,18,81721671,2024
2,NOP,17,71070362,2024
3,TOR,21,59361074,2024
4,DAL,20,55741137,2024
5,POR,16,53588909,2024
6,BKN,20,49093588,2024
7,WAS,19,48840930,2024
8,CHA,23,48554612,2024
9,UTA,20,44054604,2024
10,MIL,19,39243376,2024
11,LAC,18,39197813,2024
12,PHX,17,35552130,2024
13,MEM,20,33997394,2024
14,ATL,18,31547647,2024
15,OKC,17,29521286,2024
16,BOS,15,29151663,2024
17,ORL,15,28940368,2024
18,LAL,21,28753259,2024
19,CHI,19,27082601,2024
20,GSW,14,26811739,2024
21,DEN,12,25761614,2024
22,NYK,12,24605863,2024
23,SAS,13,22213694,2024
24,CLE,12,19659321,2024
25,HOU,13,18994457,2024
26,IND,16,17052131,2024
27,DET,9,16490483,2024
28,MIN,13,16426155,2024
29,MIA,17,15510459,2024
30,SAC,16,15037316,2024
